Location,Winner_Avg_Total_Strikes_Landed,Loser_Avg_Total_Strikes_Landed,Avg_Total_Strikes_Landed_Difference,Number_of_Fights,,,,
"New Orleans, Louisiana, USA",47.44,44.90,2.54,40,,,,
"New York City, New York, USA",90.91,93.37,-2.46,46,,,,
"Newark, New Jersey, USA",72.82,63.85,8.97,84,,,,
"Newcastle, England, United Kingdom",28.53,33.99,-5.46,9,,,,
"Norfolk, Virginia, USA",72.44,61.47,10.97,24,,,,
"Nottingham, England, United Kingdom",62.86,67.02,-4.16,10,,,,
"Oakland, California, USA",68.56,67.83,0.72,11,,,,
"Oberhausen, North Rhine-Westphalia, Germany",50.41,52.25,-1.85,9,,,,
"Oklahoma City, Oklahoma, USA",53.17,51.17,2.01,22,,,,
"Omaha, Nebraska, USA",42.40,47.50,-5.10,17,,,,
"Orlando, Florida, USA",84.54,74.04,10.50,35,,,,
"Ottawa, Ontario, Canada",84.93,83.19,1.73,25,,,,
"Perth, Western Australia, Australia",63.41,69.64,-6.23,12,,,,
"Philadelphia, Pennsylvania, USA",70.42,68.74,1.68,34,,,,
"Phoenix, Arizona, USA",81.50,83.41,-1.91,35,,,,
"Pittsburgh, Pennsylvania, USA",63.85,49.05,14.80,34,,,,
"Portland, Oregon, USA",52.13,60.51,-8.38,23,,,,
"Porto Alegre, Rio Grande do Sul, Brazil",82.19,78.92,3.27,11,,,,
"Prague, Czech Republic",86.61,73.07,13.54,13,,,,
"Quebec City, Quebec, Canada",78.58,34.97,43.61,9,,,,
"Raleigh, North Carolina, USA",87.30,73.66,13.64,11,,,,
"Rio de Janeiro, Brazil",50.85,48.63,2.22,66,,,,
"Rio Rancho, New Mexico, USA",63.38,63.63,-0.25,48,,,,
"Rochester, New York, USA",71.16,69.43,1.73,13,,,,
"Rosemont, Illinois, USA",69.12,66.07,3.05,13,,,,
"Rotterdam, Zuid-Holland, Netherlands",45.51,46.14,-0.62,10,,,,
"Sacramento, California, USA",58.55,45.49,13.06,24,,,,
"Saint Petersburg, Saint Petersburg, Russia",72.62,61.06,11.57,60,,,,
"Saitama, Japan",49.86,43.35,6.50,10,,,,
"Saitama, Saitama, Japan",76.19,63.44,12.76,45,,,,
"Salt Lake City, Utah, USA",45.68,59.05,-13.38,10,,,,
"San Antonio, Texas, USA",68.79,42.11,26.68,11,,,,
"San Diego, California, USA",61.13,66.36,-5.22,22,,,,
"San Jose, California, USA",57.14,52.81,4.33,30,,,,
"San Juan, Puerto Rico",78.11,67.02,11.09,44,,,,
"Santiago, Chile",28.21,8.10,20.11,5,,,,
"Sao Paulo, Brazil",94.08,85.93,8.15,13,,,,
"Sao Paulo, Sao Paulo, Brazil",61.84,62.10,-0.26,86,,,,
"Saskatoon, Saskatchewan, Canada",72.80,63.23,9.57,11,,,,
"Seattle, Washington, USA",76.22,74.00,2.22,32,,,,
"Seoul, South Korea",67.72,64.29,3.43,11,,,,
"Shanghai, Hebei, China",54.43,57.62,-3.19,11,,,,
"Shenzhen, Guangdong, China",70.79,54.56,16.22,8,,,,
"Singapore, Singapore",30.48,10.70,19.78,5,,,,
"Sioux Falls, South Dakota, USA",69.89,52.80,17.09,12,,,,
"St. Louis, Missouri, USA",88.29,79.98,8.31,11,,,,
"Stockholm, Sweden",67.82,56.39,11.43,65,,,,
"Sunrise, Florida, USA",66.15,70.20,-4.05,24,,,,
"Sydney, New South Wales, Australia",62.71,64.85,-2.14,54,,,,
"Tampa, Florida, USA",67.65,64.72,2.93,34,,,,
"Tokyo, Japan",26.22,37.38,-11.16,13,,,,
"Toronto, Ontario, Canada",84.27,74.74,9.53,72,,,,
"Tulsa, Oklahoma, USA",47.98,31.54,16.44,17,,,,
"Uberlandia, Minas Gerais, Brazil",52.60,37.01,15.59,9,,,,
"Uncasville, Connecticut, USA",55.46,41.73,13.73,28,,,,
"Uniondale, New York, USA",84.01,78.39,5.63,13,,,,
"Utica, New York, USA",63.21,60.79,2.42,12,,,,
"Vancouver, British Columbia, Canada",70.56,65.12,5.44,52,,,,
"Washington, DC, USA",58.15,56.19,1.95,19,,,,
"Wichita, Kansas, USA",63.33,65.06,-1.73,13,,,,
"Winnipeg, Manitoba, Canada",62.64,50.63,12.01,21,,,,
"Yokohama, Kanagawa, Japan",12.43,16.50,-4.07,6,,,,
"Zagreb, Croatia",46.61,31.69,14.93,12,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
